Time,CPU,%user,%nice,%system,%iowait,%steal,%idle
00:10:04,all,0.48,0.00,0.91,0.24,0.00,98.37
00:20:05,all,0.47,0.00,0.88,0.23,0.00,98.42
00:30:06,all,0.46,0.01,0.88,0.22,0.00,98.44
00:40:06,all,0.44,0.00,0.88,0.24,0.00,98.44
00:50:07,all,0.48,0.00,0.89,0.25,0.00,98.38
01:00:08,all,0.45,0.00,0.86,0.20,0.00,98.49
01:10:08,all,0.47,0.00,0.90,0.23,0.00,98.40
01:20:09,all,0.42,0.00,0.87,0.23,0.00,98.48
01:30:09,all,0.45,0.00,0.86,0.22,0.00,98.47
01:40:00,all,0.42,0.00,0.86,0.23,0.00,98.49
01:50:01,all,0.47,0.00,0.89,0.20,0.00,98.45
02:00:01,all,0.44,0.00,0.86,0.24,0.00,98.46
02:10:02,all,0.47,0.00,0.88,0.20,0.00,98.45
02:20:03,all,0.46,0.00,0.87,0.21,0.00,98.47
02:30:03,all,0.46,0.01,0.87,0.20,0.00,98.45
02:40:04,all,0.42,0.00,0.87,0.24,0.00,98.48
02:50:04,all,0.47,0.00,0.87,0.25,0.00,98.41
03:00:05,all,0.45,0.00,0.85,0.26,0.00,98.44
03:10:06,all,0.47,0.00,0.87,0.22,0.00,98.44
03:20:06,all,0.44,0.00,0.88,0.31,0.00,98.37
03:30:07,all,0.45,0.01,0.92,0.23,0.00,98.38
03:40:08,all,0.45,0.00,0.88,0.28,0.00,98.38
03:50:08,all,0.48,0.00,0.87,0.19,0.00,98.45
04:00:09,all,0.47,0.00,0.87,0.23,0.00,98.44
04:10:09,all,0.46,0.00,0.89,0.26,0.00,98.39
04:20:00,all,0.48,0.00,0.86,0.21,0.00,98.45
04:30:01,all,0.44,0.00,0.88,0.22,0.00,98.46
04:40:01,all,0.44,0.00,0.87,0.30,0.00,98.39
04:50:02,all,0.45,0.00,0.88,0.25,0.00,98.42
05:00:03,all,0.46,0.00,0.86,0.21,0.00,98.47
05:10:03,all,0.43,0.00,0.88,0.27,0.00,98.42
05:20:04,all,0.44,0.00,0.88,0.25,0.00,98.42
05:30:04,all,0.44,0.01,0.89,0.22,0.00,98.43
05:40:05,all,0.43,0.00,0.87,0.27,0.00,98.43
05:50:06,all,0.45,0.00,0.87,0.25,0.00,98.42
06:00:06,all,0.47,0.00,0.85,0.21,0.00,98.47
06:10:07,all,0.47,0.00,0.89,0.25,0.00,98.38
06:20:08,all,0.49,0.00,0.89,0.28,0.00,98.35
06:30:08,all,0.46,0.01,0.87,0.28,0.00,98.38
06:40:09,all,0.46,0.00,0.88,0.27,0.00,98.40
06:50:09,all,0.49,0.00,0.87,0.27,0.00,98.37
07:00:00,all,0.48,0.00,0.86,0.25,0.00,98.40
07:10:00,all,0.47,0.00,0.89,0.31,0.00,98.33
07:20:01,all,0.48,0.00,0.88,0.32,0.00,98.32
07:30:02,all,0.44,0.00,0.86,0.29,0.00,98.40
07:40:01,all,0.48,0.00,0.86,0.24,0.00,98.42
07:50:03,all,0.47,0.00,0.88,0.32,0.00,98.34
08:00:04,all,0.50,0.00,0.84,0.29,0.00,98.36
08:10:02,all,0.45,0.00,0.90,0.28,0.00,98.37
08:20:02,all,0.47,0.00,0.89,0.34,0.00,98.30
08:30:03,all,0.48,0.01,0.89,0.33,0.00,98.29
08:40:06,all,0.45,0.00,0.88,0.27,0.00,98.39
08:50:03,all,0.51,0.00,0.90,0.29,0.00,98.30
09:00:04,all,0.48,0.00,0.87,0.34,0.00,98.31
09:10:04,all,0.49,0.00,0.89,0.31,0.00,98.32
09:20:05,all,4.78,0.00,3.22,0.32,0.00,91.69
Average:,all,0.54,0.00,0.92,0.26,0.00,98.29
09:50:01,all,4.89,0.00,3.52,1.56,0.00,90.03
10:00:01,all,4.23,0.00,1.92,0.38,0.00,93.47
10:10:01,all,1.46,0.00,1.22,0.35,0.00,96.97
10:20:00,all,1.03,0.00,0.85,0.30,0.00,97.82
10:30:00,all,3.59,0.00,3.41,0.50,0.00,92.50
10:40:00,all,3.01,0.00,3.20,0.31,0.00,93.48
10:50:10,all,1.03,0.00,1.34,0.34,0.00,97.28
11:00:10,all,2.41,0.00,2.09,0.43,0.00,95.07
11:10:00,all,2.09,0.00,2.96,0.36,0.00,94.58
11:20:00,all,2.59,0.00,3.00,0.28,0.00,94.13
11:30:00,all,3.68,0.00,3.56,0.55,0.00,92.21
11:40:00,all,3.68,0.00,3.45,0.42,0.00,92.45
11:50:06,all,1.85,0.02,2.16,0.38,0.00,95.59
12:00:06,all,1.82,0.00,2.11,0.34,0.00,95.73
12:10:00,all,1.80,0.00,2.12,0.31,0.00,95.77
12:20:00,all,1.83,0.00,2.12,0.33,0.00,95.73
12:30:00,all,1.82,0.00,2.14,0.39,0.00,95.65
12:40:00,all,1.81,0.00,2.10,0.31,0.00,95.78
12:50:08,all,1.84,0.00,2.14,0.37,0.00,95.65
13:00:09,all,2.09,0.00,3.08,0.41,0.00,94.42
13:10:09,all,5.39,0.00,4.46,0.49,0.00,89.67
13:20:10,all,5.26,0.00,5.13,0.40,0.00,89.21
13:30:10,all,5.64,0.00,5.52,0.39,0.00,88.44
13:40:10,all,4.84,0.00,4.23,0.42,0.00,90.51
13:50:10,all,4.70,0.00,3.51,0.36,0.00,91.43
14:00:10,all,4.52,0.00,3.50,0.41,0.00,91.57
14:10:00,all,4.41,0.00,3.56,0.40,0.00,91.63
14:20:00,all,4.45,0.00,3.51,0.39,0.00,91.65
