Time;tps;rtps;wtps;bread/s;bwrtn/s
00:10:04;5.96;0.00;5.96;0.00;254.67
00:20:05;6.07;0.00;6.07;0.00;319.40
00:30:06;6.21;0.00;6.21;0.00;231.08
00:40:06;6.47;0.00;6.47;0.00;284.53
00:50:07;5.73;0.00;5.73;0.00;327.52
01:00:08;5.38;0.00;5.38;0.00;234.10
01:10:08;5.58;0.00;5.58;0.00;230.39
01:20:09;5.87;0.00;5.87;0.00;318.65
01:30:09;5.44;0.00;5.44;0.00;232.44
01:40:00;5.16;0.00;5.16;0.00;215.06
01:50:01;5.78;0.00;5.78;0.00;303.47
02:00:01;5.55;0.00;5.55;0.00;246.69
02:10:02;5.76;0.00;5.76;0.00;242.99
02:20:03;5.57;0.00;5.57;0.00;310.88
02:30:03;5.61;0.00;5.61;0.00;228.39
02:40:04;5.31;0.00;5.31;0.00;227.00
02:50:04;5.65;0.00;5.65;0.00;314.06
03:00:05;5.41;0.00;5.41;0.00;233.12
03:10:06;5.66;0.00;5.66;0.00;239.00
03:20:06;5.70;0.00;5.70;0.00;320.62
03:30:07;6.10;0.00;6.10;0.00;270.71
03:40:08;5.61;0.00;5.61;0.00;237.81
03:50:08;5.47;0.00;5.47;0.00;308.32
04:00:09;5.42;0.00;5.42;0.00;239.95
04:10:09;5.91;0.00;5.91;0.00;250.48
04:20:00;5.48;0.00;5.48;0.00;311.25
04:30:01;5.25;0.00;5.25;0.00;214.08
04:40:01;5.35;0.00;5.35;0.00;227.66
04:50:02;5.62;0.00;5.62;0.00;318.11
05:00:03;5.47;0.00;5.47;0.00;241.24
05:10:03;5.63;0.00;5.63;0.00;232.54
05:20:04;5.81;0.00;5.81;0.00;327.80
05:30:04;5.47;0.00;5.47;0.00;229.56
05:40:05;5.23;0.00;5.23;0.00;225.78
05:50:06;5.39;0.00;5.39;0.00;305.88
06:00:06;5.49;0.00;5.49;0.00;240.65
06:10:07;5.50;0.00;5.50;0.00;222.56
06:20:08;5.76;0.00;5.76;0.00;319.77
06:30:08;5.33;0.00;5.33;0.00;222.02
06:40:09;5.46;0.00;5.46;0.00;235.01
06:50:09;5.69;0.00;5.69;0.00;310.05
07:00:00;5.24;0.00;5.24;0.00;226.41
07:10:00;6.04;0.00;6.04;0.00;235.50
07:20:01;4.60;0.00;4.60;0.00;299.95
07:30:02;4.05;0.00;4.05;0.00;182.83
07:40:01;4.01;0.00;4.01;0.00;188.95
07:50:03;4.37;0.00;4.37;0.00;289.27
08:00:04;4.18;0.00;4.18;0.00;190.83
08:10:02;5.29;0.00;5.29;0.00;254.47
08:20:02;6.68;0.00;6.68;0.00;390.30
08:30:03;5.91;0.00;5.91;0.00;263.91
08:40:06;6.36;0.00;6.36;0.00;272.46
08:50:03;5.80;0.00;5.80;0.00;321.20
09:00:04;5.88;0.00;5.88;0.00;257.72
09:10:04;5.65;0.00;5.65;0.00;224.83
09:20:05;13.23;0.05;13.18;4.98;1038.98
Average:;5.67;0.00;5.67;0.09;275.79
09:50:01;19.12;5.17;13.95;733.91;10773.69
10:00:01;5.10;0.26;4.84;404.78;2849.08
10:10:01;4.12;0.04;4.09;0.63;2813.76
10:20:00;2.82;0.00;2.82;0.03;273.57
10:30:00;8.99;1.91;7.07;50.33;464.53
10:40:00;11.48;0.22;11.26;5.08;753.29
10:50:10;7.48;0.03;7.45;1.02;403.42
11:00:10;13.31;0.63;12.68;340.96;533.28
11:10:00;11.35;0.32;11.03;6.82;470.31
11:20:00;7.75;0.01;7.75;0.04;430.58
11:30:00;19.48;0.88;18.60;30.37;907.74
11:40:00;14.39;0.63;13.76;45.36;562.96
11:50:06;13.44;2.99;10.45;186.31;502.31
12:00:06;9.95;0.00;9.95;0.00;411.95
12:10:00;9.77;0.00;9.77;0.05;371.51
12:20:00;10.18;0.00;10.18;0.00;488.38
12:30:00;11.67;0.00;11.67;0.00;480.05
12:40:00;9.68;0.00;9.68;0.00;384.65
12:50:08;10.36;0.01;10.35;0.09;504.25
13:00:09;12.56;1.20;11.36;100.75;462.56
13:10:09;18.98;1.03;17.94;12.10;913.41
13:20:10;13.17;0.24;12.93;2.25;751.51
13:30:10;11.98;0.09;11.88;0.91;530.71
13:40:10;15.08;0.53;14.55;7.63;851.77
13:50:10;12.83;0.05;12.78;0.48;829.28
14:00:10;12.82;0.11;12.71;0.87;729.44
14:10:00;12.76;0.11;12.65;0.89;732.95
14:20:00;12.91;0.20;12.71;1.79;713.97
14:30:00;15.20;0.12;15.08;0.97;792.57
14:40:00;13.40;0.06;13.34;0.47;702.00
14:50:10;13.01;0.07;12.94;0.58;758.36
15:00:10;13.05;0.11;12.94;0.95;688.25
15:10:00;13.87;0.13;13.74;1.51;788.12
15:20:00;12.83;0.14;12.69;1.17;738.61
