Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
00:10:04,eth0,3.17,2.03,0.98,0.24,0.00,0.00,0.00,0.00
00:10:04,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:10:04,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:10:04,lo,0.17,0.17,0.02,0.02,0.00,0.00,0.00,0.00
00:20:05,eth0,3.26,2.00,0.98,0.24,0.00,0.00,0.00,0.00
00:20:05,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:20:05,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:20:05,lo,0.13,0.13,0.01,0.01,0.00,0.00,0.00,0.00
00:30:06,eth0,3.04,1.95,0.96,0.23,0.00,0.00,0.00,0.00
00:30:06,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:30:06,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:30:06,lo,0.13,0.13,0.01,0.01,0.00,0.00,0.00,0.00
00:40:06,eth0,2.59,1.82,0.95,0.25,0.00,0.00,0.00,0.00
00:40:06,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:40:06,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:40:06,lo,0.14,0.14,0.01,0.01,0.00,0.00,0.00,0.00
00:50:07,eth0,2.57,1.69,0.95,0.21,0.00,0.00,0.00,0.00
00:50:07,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:50:07,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
00:50:07,lo,0.13,0.13,0.01,0.01,0.00,0.00,0.00,0.00
01:00:08,eth0,2.68,1.64,1.03,0.19,0.00,0.00,0.00,0.00
01:00:08,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01:00:08,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01:00:08,lo,0.13,0.13,0.01,0.01,0.00,0.00,0.00,0.00
01:10:08,eth0,2.42,1.59,0.93,0.20,0.00,0.00,0.00,0.00
01:10:08,docker0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
01:10:08,virbr0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
